site usage timestamp type
manager.naf.ufscar.br 37% 1496338982 disk_usage
manager.naf.ufscar.br 37% 1496338992 disk_usage
manager.naf.ufscar.br 37% 1496339002 disk_usage
manager.naf.ufscar.br 37% 1496339012 disk_usage
manager.naf.ufscar.br 37% 1496339022 disk_usage
manager.naf.ufscar.br 37% 1496339032 disk_usage
manager.naf.ufscar.br 37% 1496339042 disk_usage
manager.naf.ufscar.br 37% 1496339052 disk_usage
manager.naf.ufscar.br 37% 1496339062 disk_usage
manager.naf.ufscar.br 37% 1496339072 disk_usage
manager.naf.ufscar.br 37% 1496339082 disk_usage
manager.naf.ufscar.br 37% 1496339092 disk_usage
manager.naf.ufscar.br 37% 1496339102 disk_usage
manager.naf.ufscar.br 37% 1496339112 disk_usage
manager.naf.ufscar.br 37% 1496339122 disk_usage
manager.naf.ufscar.br 37% 1496339132 disk_usage
manager.naf.ufscar.br 37% 1496339142 disk_usage
manager.naf.ufscar.br 37% 1496339152 disk_usage
manager.naf.ufscar.br 37% 1496339162 disk_usage
manager.naf.ufscar.br 37% 1496339172 disk_usage
manager.naf.ufscar.br 37% 1496339182 disk_usage
manager.naf.ufscar.br 37% 1496339192 disk_usage
manager.naf.ufscar.br 37% 1496339202 disk_usage
manager.naf.ufscar.br 37% 1496339212 disk_usage
manager.naf.ufscar.br 37% 1496339222 disk_usage
manager.naf.ufscar.br 37% 1496339232 disk_usage
manager.naf.ufscar.br 37% 1496339242 disk_usage
manager.naf.ufscar.br 37% 1496339252 disk_usage
manager.naf.ufscar.br 37% 1496339262 disk_usage
manager.naf.ufscar.br 37% 1496339272 disk_usage
manager.naf.ufscar.br 37% 1496339282 disk_usage
manager.naf.ufscar.br 37% 1496339292 disk_usage
manager.naf.ufscar.br 37% 1496339302 disk_usage
manager.naf.ufscar.br 37% 1496339312 disk_usage
manager.naf.ufscar.br 37% 1496339322 disk_usage
manager.naf.ufscar.br 37% 1496339332 disk_usage
manager.naf.ufscar.br 37% 1496339342 disk_usage
manager.naf.ufscar.br 37% 1496339352 disk_usage
manager.naf.ufscar.br 37% 1496339362 disk_usage
manager.naf.ufscar.br 37% 1496339372 disk_usage
manager.naf.ufscar.br 37% 1496339382 disk_usage
manager.naf.ufscar.br 37% 1496339393 disk_usage
manager.naf.ufscar.br 37% 1496339403 disk_usage
manager.naf.ufscar.br 37% 1496339413 disk_usage
manager.naf.ufscar.br 37% 1496339423 disk_usage
manager.naf.ufscar.br 37% 1496339433 disk_usage
manager.naf.ufscar.br 37% 1496339443 disk_usage
manager.naf.ufscar.br 37% 1496339453 disk_usage
manager.naf.ufscar.br 37% 1496339463 disk_usage
manager.naf.ufscar.br 37% 1496339473 disk_usage
manager.naf.ufscar.br 37% 1496339483 disk_usage
manager.naf.ufscar.br 37% 1496339493 disk_usage
manager.naf.ufscar.br 37% 1496339503 disk_usage
manager.naf.ufscar.br 37% 1496339513 disk_usage
manager.naf.ufscar.br 37% 1496339523 disk_usage
manager.naf.ufscar.br 37% 1496339533 disk_usage
manager.naf.ufscar.br 37% 1496339543 disk_usage
manager.naf.ufscar.br 37% 1496339553 disk_usage
manager.naf.ufscar.br 37% 1496339563 disk_usage
manager.naf.ufscar.br 37% 1496339573 disk_usage
manager.naf.ufscar.br 37% 1496339583 disk_usage
manager.naf.ufscar.br 37% 1496339593 disk_usage
manager.naf.ufscar.br 37% 1496339603 disk_usage
manager.naf.ufscar.br 37% 1496339613 disk_usage
manager.naf.ufscar.br 37% 1496339623 disk_usage
manager.naf.ufscar.br 37% 1496339633 disk_usage
manager.naf.ufscar.br 37% 1496339643 disk_usage
manager.naf.ufscar.br 37% 1496339653 disk_usage
manager.naf.ufscar.br 37% 1496339663 disk_usage
manager.naf.ufscar.br 37% 1496339673 disk_usage
manager.naf.ufscar.br 37% 1496339683 disk_usage
manager.naf.ufscar.br 37% 1496339693 disk_usage
manager.naf.ufscar.br 37% 1496339703 disk_usage
manager.naf.ufscar.br 37% 1496339713 disk_usage
manager.naf.ufscar.br 37% 1496339723 disk_usage
manager.naf.ufscar.br 37% 1496339733 disk_usage
manager.naf.ufscar.br 37% 1496339743 disk_usage
manager.naf.ufscar.br 37% 1496339753 disk_usage
manager.naf.ufscar.br 37% 1496339763 disk_usage
manager.naf.ufscar.br 37% 1496339773 disk_usage
manager.naf.ufscar.br 37% 1496339783 disk_usage
manager.naf.ufscar.br 37% 1496339793 disk_usage
manager.naf.ufscar.br 37% 1496339803 disk_usage
manager.naf.ufscar.br 37% 1496339813 disk_usage
manager.naf.ufscar.br 37% 1496339823 disk_usage
manager.naf.ufscar.br 37% 1496339833 disk_usage
manager.naf.ufscar.br 37% 1496339843 disk_usage
manager.naf.ufscar.br 37% 1496339853 disk_usage
manager.naf.ufscar.br 37% 1496339863 disk_usage
manager.naf.ufscar.br 37% 1496339873 disk_usage
manager.naf.ufscar.br 37% 1496339883 disk_usage
manager.naf.ufscar.br 37% 1496339893 disk_usage
manager.naf.ufscar.br 37% 1496339903 disk_usage
manager.naf.ufscar.br 37% 1496339913 disk_usage
manager.naf.ufscar.br 37% 1496339923 disk_usage
manager.naf.ufscar.br 37% 1496339933 disk_usage
manager.naf.ufscar.br 37% 1496339943 disk_usage
manager.naf.ufscar.br 37% 1496339953 disk_usage
manager.naf.ufscar.br 37% 1496339963 disk_usage
manager.naf.ufscar.br 37% 1496339973 disk_usage
manager.naf.ufscar.br 37% 1496339983 disk_usage
manager.naf.ufscar.br 37% 1496339993 disk_usage
manager.naf.ufscar.br 37% 1496340003 disk_usage
manager.naf.ufscar.br 37% 1496340013 disk_usage
manager.naf.ufscar.br 37% 1496340023 disk_usage
manager.naf.ufscar.br 37% 1496340033 disk_usage
manager.naf.ufscar.br 37% 1496340043 disk_usage
manager.naf.ufscar.br 37% 1496340053 disk_usage
manager.naf.ufscar.br 37% 1496340063 disk_usage
manager.naf.ufscar.br 37% 1496340073 disk_usage
manager.naf.ufscar.br 37% 1496340083 disk_usage
manager.naf.ufscar.br 37% 1496340093 disk_usage
manager.naf.ufscar.br 37% 1496340103 disk_usage
manager.naf.ufscar.br 37% 1496340113 disk_usage
manager.naf.ufscar.br 37% 1496340123 disk_usage
manager.naf.ufscar.br 37% 1496340133 disk_usage
manager.naf.ufscar.br 37% 1496340143 disk_usage
manager.naf.ufscar.br 37% 1496340153 disk_usage
manager.naf.ufscar.br 37% 1496340163 disk_usage
manager.naf.ufscar.br 37% 1496340173 disk_usage
manager.naf.ufscar.br 37% 1496340183 disk_usage
manager.naf.ufscar.br 37% 1496340193 disk_usage
manager.naf.ufscar.br 37% 1496340203 disk_usage
manager.naf.ufscar.br 37% 1496340213 disk_usage
manager.naf.ufscar.br 37% 1496340223 disk_usage
manager.naf.ufscar.br 37% 1496340233 disk_usage
manager.naf.ufscar.br 37% 1496340243 disk_usage
manager.naf.ufscar.br 37% 1496340253 disk_usage
manager.naf.ufscar.br 37% 1496340263 disk_usage
manager.naf.ufscar.br 37% 1496340273 disk_usage
manager.naf.ufscar.br 37% 1496340283 disk_usage
manager.naf.ufscar.br 37% 1496340293 disk_usage
manager.naf.ufscar.br 37% 1496340303 disk_usage
manager.naf.ufscar.br 37% 1496340313 disk_usage
manager.naf.ufscar.br 37% 1496340323 disk_usage
manager.naf.ufscar.br 37% 1496340333 disk_usage
manager.naf.ufscar.br 37% 1496340343 disk_usage
manager.naf.ufscar.br 37% 1496340353 disk_usage
manager.naf.ufscar.br 37% 1496340363 disk_usage
manager.naf.ufscar.br 37% 1496340373 disk_usage
manager.naf.ufscar.br 37% 1496340383 disk_usage
manager.naf.ufscar.br 37% 1496340393 disk_usage
manager.naf.ufscar.br 38% 1496340403 disk_usage
manager.naf.ufscar.br 38% 1496340413 disk_usage
manager.naf.ufscar.br 38% 1496340423 disk_usage
manager.naf.ufscar.br 38% 1496340433 disk_usage
manager.naf.ufscar.br 38% 1496340443 disk_usage
manager.naf.ufscar.br 38% 1496340453 disk_usage
manager.naf.ufscar.br 38% 1496340463 disk_usage
manager.naf.ufscar.br 38% 1496340473 disk_usage
manager.naf.ufscar.br 38% 1496340483 disk_usage
manager.naf.ufscar.br 38% 1496340493 disk_usage
manager.naf.ufscar.br 38% 1496340503 disk_usage
manager.naf.ufscar.br 38% 1496340513 disk_usage
manager.naf.ufscar.br 38% 1496340523 disk_usage
manager.naf.ufscar.br 38% 1496340534 disk_usage
manager.naf.ufscar.br 38% 1496340544 disk_usage
manager.naf.ufscar.br 38% 1496340554 disk_usage
manager.naf.ufscar.br 38% 1496340564 disk_usage
manager.naf.ufscar.br 38% 1496340574 disk_usage
manager.naf.ufscar.br 38% 1496340584 disk_usage
manager.naf.ufscar.br 38% 1496340594 disk_usage
manager.naf.ufscar.br 38% 1496340604 disk_usage
manager.naf.ufscar.br 38% 1496340614 disk_usage
manager.naf.ufscar.br 38% 1496340624 disk_usage
manager.naf.ufscar.br 38% 1496340634 disk_usage
manager.naf.ufscar.br 38% 1496340644 disk_usage
manager.naf.ufscar.br 38% 1496340654 disk_usage
manager.naf.ufscar.br 38% 1496340664 disk_usage
manager.naf.ufscar.br 38% 1496340674 disk_usage
manager.naf.ufscar.br 39% 1496340684 disk_usage
manager.naf.ufscar.br 39% 1496340694 disk_usage
manager.naf.ufscar.br 39% 1496340704 disk_usage
manager.naf.ufscar.br 39% 1496340714 disk_usage
manager.naf.ufscar.br 39% 1496340724 disk_usage
manager.naf.ufscar.br 39% 1496340734 disk_usage
manager.naf.ufscar.br 39% 1496340744 disk_usage
manager.naf.ufscar.br 39% 1496340754 disk_usage
manager.naf.ufscar.br 39% 1496340764 disk_usage
manager.naf.ufscar.br 39% 1496340774 disk_usage
manager.naf.ufscar.br 39% 1496340784 disk_usage
manager.naf.ufscar.br 39% 1496340794 disk_usage
manager.naf.ufscar.br 39% 1496340804 disk_usage
manager.naf.ufscar.br 39% 1496340814 disk_usage
manager.naf.ufscar.br 39% 1496340824 disk_usage
manager.naf.ufscar.br 39% 1496340834 disk_usage
manager.naf.ufscar.br 39% 1496340844 disk_usage
manager.naf.ufscar.br 39% 1496340854 disk_usage
manager.naf.ufscar.br 39% 1496340864 disk_usage
manager.naf.ufscar.br 39% 1496340874 disk_usage
manager.naf.ufscar.br 39% 1496340884 disk_usage
manager.naf.ufscar.br 39% 1496340894 disk_usage
manager.naf.ufscar.br 39% 1496340904 disk_usage
manager.naf.ufscar.br 39% 1496340914 disk_usage
manager.naf.ufscar.br 39% 1496340924 disk_usage
manager.naf.ufscar.br 39% 1496340934 disk_usage
manager.naf.ufscar.br 39% 1496340944 disk_usage
manager.naf.ufscar.br 39% 1496340954 disk_usage
manager.naf.ufscar.br 39% 1496340964 disk_usage
manager.naf.ufscar.br 39% 1496340974 disk_usage
manager.naf.ufscar.br 39% 1496340984 disk_usage
manager.naf.ufscar.br 39% 1496340994 disk_usage
manager.naf.ufscar.br 39% 1496341004 disk_usage
manager.naf.ufscar.br 39% 1496341014 disk_usage
manager.naf.ufscar.br 39% 1496341024 disk_usage
manager.naf.ufscar.br 39% 1496341034 disk_usage
manager.naf.ufscar.br 39% 1496341044 disk_usage
manager.naf.ufscar.br 39% 1496341054 disk_usage
manager.naf.ufscar.br 39% 1496341064 disk_usage
manager.naf.ufscar.br 39% 1496341074 disk_usage
manager.naf.ufscar.br 39% 1496341084 disk_usage
manager.naf.ufscar.br 39% 1496341094 disk_usage
manager.naf.ufscar.br 39% 1496341104 disk_usage
manager.naf.ufscar.br 39% 1496341114 disk_usage
manager.naf.ufscar.br 39% 1496341124 disk_usage
manager.naf.ufscar.br 39% 1496341134 disk_usage
manager.naf.ufscar.br 39% 1496341144 disk_usage
