Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:37:38-06/01/17 | Timestamp: 1496338658
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:37:40-06/01/17 | Timestamp: 1496338660
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:37:50-06/01/17 | Timestamp: 1496338670
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:37:51-06/01/17 | Timestamp: 1496338671
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:01-06/01/17 | Timestamp: 1496338681
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:02-06/01/17 | Timestamp: 1496338682
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:12-06/01/17 | Timestamp: 1496338692
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:13-06/01/17 | Timestamp: 1496338693
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:24-06/01/17 | Timestamp: 1496338704
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:24-06/01/17 | Timestamp: 1496338704
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:35-06/01/17 | Timestamp: 1496338715
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:35-06/01/17 | Timestamp: 1496338715
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:46-06/01/17 | Timestamp: 1496338726
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:47-06/01/17 | Timestamp: 1496338727
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:57-06/01/17 | Timestamp: 1496338737
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:38:58-06/01/17 | Timestamp: 1496338738
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:09-06/01/17 | Timestamp: 1496338749
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:09-06/01/17 | Timestamp: 1496338749
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:20-06/01/17 | Timestamp: 1496338760
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:20-06/01/17 | Timestamp: 1496338760
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:31-06/01/17 | Timestamp: 1496338771
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:32-06/01/17 | Timestamp: 1496338772
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:43-06/01/17 | Timestamp: 1496338783
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:43-06/01/17 | Timestamp: 1496338783
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:54-06/01/17 | Timestamp: 1496338794
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:39:54-06/01/17 | Timestamp: 1496338794
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:05-06/01/17 | Timestamp: 1496338805
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:06-06/01/17 | Timestamp: 1496338806
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:16-06/01/17 | Timestamp: 1496338816
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:17-06/01/17 | Timestamp: 1496338817
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:27-06/01/17 | Timestamp: 1496338827
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:28-06/01/17 | Timestamp: 1496338828
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:38-06/01/17 | Timestamp: 1496338838
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:39-06/01/17 | Timestamp: 1496338839
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:50-06/01/17 | Timestamp: 1496338850
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:40:50-06/01/17 | Timestamp: 1496338850
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:41:01-06/01/17 | Timestamp: 1496338861
Site: manager.naf.ufscar.br | Amount instances: 0 of 20 (0 %) | Date: 14:41:01-06/01/17 | Timestamp: 1496338861
Site: experimento.manager.naf.lsd.ufcg.edu.br | Amount instances: 0 of 20 (0 %) | Date: 14:41:12-06/01/17 | Timestamp: 1496338872
