site usage timestamp type
manager.naf.ufscar.br 15.0 1496330389 running
experimento.manager.naf.lsd.ufcg.edu.br 60.0 1496330389 running
manager.naf.ufscar.br 15.0 1496332189 running
experimento.manager.naf.lsd.ufcg.edu.br 105.0 1496332189 running
manager.naf.ufscar.br 15.0 1496333989 running
experimento.manager.naf.lsd.ufcg.edu.br 105.0 1496333989 running
manager.naf.ufscar.br 15.0 1496335789 running
experimento.manager.naf.lsd.ufcg.edu.br 105.0 1496335789 running
manager.naf.ufscar.br 15.0 1496337589 running
experimento.manager.naf.lsd.ufcg.edu.br 105.0 1496337589 running
manager.naf.ufscar.br 40.0 1496339389 running
experimento.manager.naf.lsd.ufcg.edu.br 105.0 1496339389 running
manager.naf.ufscar.br 80.0 1496341189 running
experimento.manager.naf.lsd.ufcg.edu.br 110.0 1496341189 running
manager.naf.ufscar.br 80.0 1496342989 running
experimento.manager.naf.lsd.ufcg.edu.br 110.0 1496342989 running
manager.naf.ufscar.br 80.0 1496344789 running
experimento.manager.naf.lsd.ufcg.edu.br 110.0 1496344789 running
manager.naf.ufscar.br 80.0 1496346589 running
experimento.manager.naf.lsd.ufcg.edu.br 110.0 1496346589 running
manager.naf.ufscar.br 85.0 1496348389 running
experimento.manager.naf.lsd.ufcg.edu.br 105.0 1496348389 running
manager.naf.ufscar.br 85.0 1496350189 running
experimento.manager.naf.lsd.ufcg.edu.br 100.0 1496350189 running
manager.naf.ufscar.br 95.0 1496351989 running
experimento.manager.naf.lsd.ufcg.edu.br 85.0 1496351989 running
manager.naf.ufscar.br 95.0 1496353789 running
experimento.manager.naf.lsd.ufcg.edu.br 55.0 1496353789 running
manager.naf.ufscar.br 95.0 1496355589 running
experimento.manager.naf.lsd.ufcg.edu.br 10.0 1496355589 running
manager.naf.ufscar.br 90.0 1496357389 running
experimento.manager.naf.lsd.ufcg.edu.br 10.0 1496357389 running
manager.naf.ufscar.br 70.0 1496359189 running
experimento.manager.naf.lsd.ufcg.edu.br 10.0 1496359189 running
manager.naf.ufscar.br 45.0 1496360989 running
experimento.manager.naf.lsd.ufcg.edu.br 10.0 1496360989 running
manager.naf.ufscar.br 20.0 1496362789 running
experimento.manager.naf.lsd.ufcg.edu.br 10.0 1496362789 running
manager.naf.ufscar.br 15.0 1496364589 running
experimento.manager.naf.lsd.ufcg.edu.br 10.0 1496364589 running
manager.naf.ufscar.br 15.0 1496366389 running
experimento.manager.naf.lsd.ufcg.edu.br 60.0 1496366389 running
manager.naf.ufscar.br 15.0 1496368189 running
experimento.manager.naf.lsd.ufcg.edu.br 70.0 1496368189 running
manager.naf.ufscar.br 10.0 1496369989 running
experimento.manager.naf.lsd.ufcg.edu.br 70.0 1496369989 running
manager.naf.ufscar.br 10.0 1496371789 running
experimento.manager.naf.lsd.ufcg.edu.br 70.0 1496371789 running
manager.naf.ufscar.br 10.0 1496373589 running
experimento.manager.naf.lsd.ufcg.edu.br 70.0 1496373589 running
manager.naf.ufscar.br 25.0 1496375389 running
experimento.manager.naf.lsd.ufcg.edu.br 80.0 1496375389 running
manager.naf.ufscar.br 55.0 1496377189 running
experimento.manager.naf.lsd.ufcg.edu.br 80.0 1496377189 running
manager.naf.ufscar.br 60.0 1496378989 running
experimento.manager.naf.lsd.ufcg.edu.br 80.0 1496378989 running
manager.naf.ufscar.br 60.0 1496380789 running
experimento.manager.naf.lsd.ufcg.edu.br 80.0 1496380789 running
manager.naf.ufscar.br 60.0 1496382589 running
experimento.manager.naf.lsd.ufcg.edu.br 80.0 1496382589 running
manager.naf.ufscar.br 60.0 1496384389 running
experimento.manager.naf.lsd.ufcg.edu.br 80.0 1496384389 running
manager.naf.ufscar.br 60.0 1496386189 running
experimento.manager.naf.lsd.ufcg.edu.br 50.0 1496386189 running
manager.naf.ufscar.br 65.0 1496387989 running
experimento.manager.naf.lsd.ufcg.edu.br 45.0 1496387989 running
manager.naf.ufscar.br 65.0 1496389789 running
experimento.manager.naf.lsd.ufcg.edu.br 30.0 1496389789 running
manager.naf.ufscar.br 60.0 1496391589 running
experimento.manager.naf.lsd.ufcg.edu.br 25.0 1496391589 running
manager.naf.ufscar.br 30.0 1496393389 running
experimento.manager.naf.lsd.ufcg.edu.br 25.0 1496393389 running
manager.naf.ufscar.br 25.0 1496395189 running
experimento.manager.naf.lsd.ufcg.edu.br 25.0 1496395189 running
manager.naf.ufscar.br 20.0 1496396989 running
experimento.manager.naf.lsd.ufcg.edu.br 25.0 1496396989 running
manager.naf.ufscar.br 20.0 1496398789 running
experimento.manager.naf.lsd.ufcg.edu.br 50.0 1496398789 running
